question_id,image_id,llama_answer
22jbM6gDxdaMaunuzgrsBB,461751,Cigarette
2Aq5RiEn7eyfWjEbpuYT2o,377368,32
2Br4bJfKY7SQM9DECrqqeG,563603,Pond
2C8riXpRLX3CyM5jDz23m7,329542,Whipped cream
2DQex53EkNGH2cfo3WPuPn,182202,Cell phone
2GhdXLaZFBYHSip4rvYKfK,198960,Sheep
2LCLpdpD3yy2dgH5tQbcFe,257169,Dry hair
2N5sYXgyFqbDnuUhJFAWr5,4795,Rough
2P5mVJc5a6DcCN9opV92FJ,341196,Crouching
2PGwvdFESLvwfFCwK5pbYu,163640,Jeans
2RN4dwhRZR3ZSKHtRnJdX3,71711,Usa
2U3SiXdyEgJBHNThL4YbPz,117425,Candle
2YfYkRjcnnsVzjycPehWPA,250766,Tomato
2etjUMchktfSY5fgGg5msL,147415,Tissue
2oPzCyj5FjrKtBLjGZH2rF,434459,American
2rC38fZh4n6ZXcyrUEKukj,421923,Books
2sUggWn8qBk97E38wKpjN5,245173,Afternoon
2vGs6CLETM2BJPstdHjku9,407960,Eat
2wbNBVZMGZnVpYohDAed8d,405691,Dinner
2xDeTCXSRqdhvREBDhHsMx,180878,Icing
2xn24MrfJ2mLJC7xDBGUJA,470773,To look professional
2yWyzYRyZuYH2ZB49WNACa,185250,Frisbee
2zTqTkKqa89GUKLzMUkDic,519764,Dog
34ah8AmQenWUyH2fZvJH7a,562818,Ski
399Vdu2QjamF3vheUvbRg2,497568,Airplane
39CcpmwATuiwiZLZo3XMuv,47121,Down
3R6SnZ4MRGXXvao5ARVE8e,485237,Tow
3SKKn3bQ4xhiDpkesifdod,445792,Japan
3X8TsFBRS7mBsBbyFDzRdb,312192,Spinach
3asRExdxmWQtJw4sv49AGZ,55022,Bike
3cCvfCWnLfrmqYEaFzb2Xm,139099,Market
3echacwmLBUByWpjh85Mfv,308394,Bag
3ef8KXbKoJaJZyVmxVZMaq,200421,Happy birthday
3hvf4MjtcgpFznUWS5bbvj,370270,Baseball
3qnvp3XRGpc5L6RMhRZ3gg,547816,Shampoo
3vbWi2p7C9SSUHWSdbMYbE,195842,Boxing
3w3DT989GgT6yjqurjvmt6,485480,Hit ball
3zxLUD8FPcCLJWYsG7h2KY,156278,Kitchen
455nQuaxbURN5ofLfbCqfq,286994,Dirt
45ZJiwQ8E4sqUTyJSUzEN3,212559,Wood
49CisPCc2LiA5TUAdHZgXe,463522,Horse
4BFN6MtJcaFzpccm3UwZva,229358,Bathroom
4C2cZitDfGX5ytw6YTcxiL,127182,Stove
4FBqxbmT4zCDwWzm3gH7LY,153632,Meat
4H7KMfvPvCTSvtf8Uyp55D,217285,Gatorade
4HXTUJHey3SSzuoE66yHKi,149375,Plaid
4PvLY9C3GyARH3WSGYbYFq,104612,Asian
4U4iSWxvXv9RtE6V9KpxJo,502599,Us air force
4UrYfZMUToiF5f7GK6eMaz,511999,Safety
4YvFMFoDw46kzXhajSgc9W,242060,To eat
4Z7WvuLTj7VUpVtLL2W2g7,383443,Pedestal
4cdYbJFFeKXJr6LbKgcxTa,176799,Skate park
4dnt6ahNTCENKrvBhExyvV,287874,Yes
4iV8UfNJs7Wy6XAt9SHMVJ,521509,Bedroom
4j6bW4ChHncMKUnmnGAQQ2,208363,Party
4jnshoBeGDGmRjspTuvr29,214192,Motorcycles
4mgcpzD4d6adkPQP7cxg54,338625,New york
4t5DcDdFbw5x9PVRKis5AQ,8844,Smoothie
4wVv7CDVuQNaz7LLHDg89t,259830,Motorcycle
4xBq7ak8qCE92z8vddKXtu,528578,Left
4yd2xqYxWenwSYEucHnNXR,456496,France
4yq3AnREQ4PP7MXMWvBb5a,50896,Christmas
5AhBQW2ucGSwJbPTtXHTFd,82821,Canoe
5LTzpByXwsWGViYAXqiVEX,548246,Tennis balls
5NysKUokKJcrFfUcBbr9Vo,142790,Fall
5QURaRC8e3HjPpYC2GrX4u,27696,Pepper
5Re4MQxw5XwLbQQzqQVZcV,528399,Soup
5S32A279iAfRetbkeWJd77,383289,Car
5SgmGLJtR47rB539V4Jwt6,433204,Safety
5TbBvzzr5N35YUs7yBd7Ah,419408,Pole
5XBmJitjSm9g7SQqNxYpe7,216497,Island
5Y5u3gnReRQbzkRnGw5ywd,574702,Brick
5aRkxnYoakzDQFyDGb9qJ2,86220,Greta
5aXXZiPUcUzScs2do5tjYs,277689,With roses
5cNGmGcUxJP7rwHnc6BXrs,144932,Buoy
5fDUuYWCZMudfXVEPywFYc,386352,Woman
5gQSkSh2eK3ZZ8bEyweBiA,286458,Travel
5jGPL4u8JFHkLyQCG354uG,99024,Kite
5oBisjqVjcXEXGkd2uKPDe,271116,Cell phone
5wfUGvXtyEw22kABjGaHxT,34205,Mushroom
5z9Zmf4GRKoCa7igqv4Ef7,115245,Travel
64o6jMUzFmawogFAYnhNoh,455157,Camouflage
64yPpMFbTw3CnmTULYZWTp,456496,Paris
65Sfsx6hqdJ5UqNWLB3RCG,205282,Africa
66abRGQG535WgzgU5Ue9ru,472375,Garage
6EzruBdkEgwx74NmrhoyBV,36494,Window
6FKSZrTS9wzHwnKasBSfdP,314182,Dip
6HizsyvwUgduwabP2dWha5,258793,Sun
6J2yw53YiEDoNpMSt9mSsC,170099,Business
