question_id,image_id,llama_answer
2971475,297147,Motorcycle
3397615,339761,Fern
3575865,357586,Teddy bear
949225,94922,Tail
2076115,207611,Money
5723996,572399,No one
5723995,572399,Down
5759705,575970,Island
3045575,304557,Shopping
2183655,218365,Plant
2863135,286313,Swinging
299845,29984,Lake
115115,11511,Artist
3234605,323460,Relish
5169165,516916,Work
217115,21711,Dirt bike
3133865,313386,Passenger
4026395,402639,Girl
4575845,457584,1902
4883775,488377,Kickflip
3017535,301753,Single
1833195,183319,To charge
3970635,397063,Round
4976605,497660,1000
2357845,235784,Cross country
3190735,319073,Wetsuit
5144685,514468,Surfboard
4371265,437126,Cloth
5182875,518287,Mouth
3804595,380459,Vanilla
5002005,500200,Vase
3156685,315668,England
3736625,373662,Soup
4293695,429369,Nothing
4273415,427341,1000
3938365,393836,Quilt
179845,17984,Brazil
3268375,326837,Ihop
2780325,278032,Fire truck
1110325,111032,Becker
5096415,509641,Break
3413095,341309,Armani
1121605,112160,Walmart
2645405,264540,Sushi
1089825,108982,Blue bird
2929715,292971,Smiling
1902045,190204,100 mph
3774865,377486,Sombrero
1282805,128280,Florida
1318415,131841,Good
1305165,130516,Concrete
2845485,284548,Train
5069455,506945,Selfie
4247445,424744,Gazebo
5681485,568148,Throw
857725,85772,High school
1396845,139684,Rug
4732085,473208,Commercial
3030245,303024,Gold
5342525,534252,Crocs
1649245,164924,Joss whedon
1197855,119785,Evening
511915,51191,High end
1943135,194313,Grumpy cat
3325125,332512,Sink
3763585,376358,Horns
3959785,395978,American airlines
2162545,216254,1886
2913705,291370,Top hat
3304055,330405,Mickey mouse
505145,50514,Coconut
5666345,566634,Cross country
1569995,156999,Long neck
4535205,453520,Mammals
3282845,328284,Freeze
2335535,233553,18 feet
3589765,358976,Calico
1050405,105040,Veggies
5379826,537982,They are fresh
2352215,235221,Fear
4854245,485424,Ge
2864225,286422,Sail
5192715,519271,Napkin
1449855,144985,Recall
5605665,560566,Full
3430685,343068,Deer
1527025,152702,Polo
1603935,160393,Blanket
2597615,259761,Air
3883985,388398,Public
4071465,407146,1
5525735,552573,Water
1000065,100006,Advertisement
5685555,568555,Decoration
2873285,287328,Sleep
5649115,564911,One world
4471175,447117,Sheer
3294555,329455,Pepperoni
1365725,136572,Kickstand
5775245,577524,16 feet
2707535,270753,Lot
2231575,223157,Levis
3087645,308764,Nocturnal
2940305,294030,Contrail
2741565,274156,50 lbs
5522215,552221,Pizza
4684875,468487,Chihuahua
5156125,515612,Keyboard
2085245,208524,Cargo
1970975,197097,Lab
2365425,236542,Pancake
2365426,236542,Pancakes
1041195,104119,Thanksgiving
2264595,226459,Banana
2749575,274957,Navigation
1341195,134119,Herd
1708525,170852,Cutting edge
1667045,166704,Butter
4100045,410004,Tropical
639735,63973,10 years
979885,97988,Sponsor
4959965,495996,Claws
2980515,298051,Concert
2921885,292188,Jeep
5735275,573527,One way
5461715,546171,Social
3989925,398992,Library
3159865,315986,2 minutes
418675,41867,Finch
